"","ID","Cluster","V1","V2"
"H4_WM_2_4_184","H4_WM_2_4_184",5,13.9106295886039,-11.7162902717105
"H4_WM_2_4_186","H4_WM_2_4_186",2,0.505482467232941,-19.647868168067
"H4_WM_2_4_190","H4_WM_2_4_190",4,-3.87876693741249,-19.1030668725212
"H1_micr_1_5_17","H1_micr_1_5_17",11,-10.2750279773013,12.7788830361105
"H1_micr_1_5_25","H1_micr_1_5_25",11,-6.85891833161428,15.2767500643666
"H1_micr_1_5_33","H1_micr_1_5_33",12,-1.09034640804133,17.4674857752748
"H1_micr_1_5_49","H1_micr_1_5_49",12,0.82261651868194,14.3196833812
"H1_micr_1_5_50","H1_micr_1_5_50",12,-0.598122471974424,13.9966176037275
"H1_micr_1_5_51","H1_micr_1_5_51",12,1.90574284538863,12.1509659924879
"H1_micr_1_5_65","H1_micr_1_5_65",6,10.9385005581694,-1.64614264111518
"H1_micr_1_5_66","H1_micr_1_5_66",12,5.08230455683621,13.1646796106426
"H1_micr_1_5_81","H1_micr_1_5_81",11,-10.9180905582232,16.1962714710797
"H1_micr_1_5_90","H1_micr_1_5_90",6,-13.5685123365397,4.52193655868625
"H1_micr_1_5_113","H1_micr_1_5_113",12,1.21050514964783,13.0481904935457
"H1_micr_1_5_116","H1_micr_1_5_116",12,0.892358224915429,16.1001549318669
"H1_micr_1_5_121","H1_micr_1_5_121",12,0.926146003332944,14.4654022425938
"H1_micr_1_5_122","H1_micr_1_5_122",11,-10.0503585044993,13.3394768725906
"H1_micr_1_5_129","H1_micr_1_5_129",12,1.85714183347863,13.035748958752
"H1_micr_1_5_130","H1_micr_1_5_130",12,6.73959850678808,11.4995130378915
"H1_micr_1_5_132","H1_micr_1_5_132",12,2.03688866547226,18.2638533047989
"H1_micr_1_5_137","H1_micr_1_5_137",12,1.31492796641244,16.5684256415142
"H1_micr_1_5_146","H1_micr_1_5_146",12,1.66893216278727,12.2317266772584
"H1_micr_1_5_147","H1_micr_1_5_147",12,-1.59149229477234,17.081176626621
"H1_micr_1_5_155","H1_micr_1_5_155",11,1.114360077755,18.2795585380628
"H1_micr_1_5_161","H1_micr_1_5_161",12,1.97344672286771,14.9327173566898
"H1_micr_1_5_162","H1_micr_1_5_162",12,-0.372414337164023,13.4450432857859
"H1_micr_1_5_165","H1_micr_1_5_165",15,-20.316483934418,8.61279058422242
"H1_micr_1_5_171","H1_micr_1_5_171",11,6.15068742738215,20.814107068904
"H1_micr_1_5_172","H1_micr_1_5_172",12,-6.52314762084053,11.4989896386455
"H1_micr_1_5_177","H1_micr_1_5_177",12,5.86068766861776,17.683445849416
"H1_micr_1_5_179","H1_micr_1_5_179",6,5.14622392771892,1.73587879193747
"H1_micr_1_5_181","H1_micr_1_5_181",11,1.37560293694036,17.6921829443458
"H1_micr_1_5_182","H1_micr_1_5_182",12,0.67384232767408,13.8296816489589
"H1_micr_1_5_185","H1_micr_1_5_185",12,-0.47276676363695,13.1218146525965
"H1_micr_1_5_186","H1_micr_1_5_186",11,5.52601331022831,19.847724373061
"H1_micr_1_5_188","H1_micr_1_5_188",6,10.0849947383406,-0.501718648654013
"H1_micr_2_6_1","H1_micr_2_6_1",12,3.68285500229442,19.2784969837986
"H1_micr_2_6_2","H1_micr_2_6_2",12,2.84673024476849,19.8166304417867
"H1_micr_2_6_3","H1_micr_2_6_3",12,2.13801346534177,12.2764742954271
"H1_micr_2_6_6","H1_micr_2_6_6",12,10.656179593903,10.9742583868747
"H1_micr_2_6_7","H1_micr_2_6_7",12,11.2098113106153,12.5999237670202
"H1_micr_2_6_11","H1_micr_2_6_11",11,-0.189298454158075,15.929622190568
"H1_micr_2_6_17","H1_micr_2_6_17",12,-6.71049785702463,11.3386645921211
"H1_micr_2_6_18","H1_micr_2_6_18",12,0.571210807493964,13.1849718708899
